Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-10-31,40.25,41.01,39.84,40.95,1604250.0,0.0,1.0,40.25,41.01,39.84,40.95,1604250.0
2017-11-30,41.16,42.05,41.0,41.69,2785848.0,0.0,1.0,41.16,42.05,41.0,41.69,2785848.0
2017-12-31,44.47,44.81,44.23,44.23,1103734.0,0.0,1.0,44.47,44.81,44.23,44.23,1103734.0
2018-01-31,47.78,48.13,46.97,47.04,2904262.0,0.0,1.0,47.78,48.13,46.97,47.04,2904262.0
2018-02-28,50.71,51.38,50.27,50.91,2892991.0,0.0,1.0,50.71,51.38,50.27,50.91,2892991.0
2018-03-31,53.46,53.57,52.7,53.11,2773040.0,0.0,1.0,53.46,53.57,52.7,53.11,2773040.0
